date,open,high,low,close,volume,log_return,volatility_7,RSI_14,MA_7,MA_21
2018-01-13,22.1999,23.4998,21.04,22.0246,1080455.71,-0.007927773886733672,0.1149063909902272,78.11256794404723,19.559571428571427,13.098814285714287
2018-01-14,22.0252,22.1,18.21,20.4541,1384083.33,-0.07397665908571768,0.08700718209369573,72.66965022414703,19.825300000000002,13.826104761904762
2018-01-15,20.4546,23.231,19.0113,19.3396,2288556.77,-0.056028544103138476,0.08949424244784587,69.91936841026993,20.017085714285713,14.43927142857143
2018-01-16,19.4376,19.4475,9.89,13.1996,9933431.45,-0.381968281185118,0.17447639702161583,56.75204461414307,19.41717142857143,14.627157142857143
2018-01-17,13.0262,15.7,9.4001,14.1998,9971697.17,0.07304135389810908,0.17917180571500968,57.28099606191479,18.945714285714285,14.823666666666668
2018-01-18,14.1191,15.9,13.0203,14.1397,6699252.37,-0.00424143616498465,0.15198354873717404,57.453422634585834,17.936757142857143,15.056509523809522
2018-01-19,14.0405,15.4799,13.501,14.9447,3004070.17,0.055370278095211355,0.15309114412036107,50.09430760024775,16.9003,15.35342857142857
2018-01-20,14.9447,16.68,14.8249,16.1712,2617140.33,0.07887516040704902,0.16099580798085278,35.45125373404544,16.0641,15.761833333333332
2018-01-21,16.1602,16.26,13.0339,14.1334,3318363.34,-0.13469109179845143,0.16446958629515882,38.91820449373441,15.161142857142858,16.028661904761904
2018-01-22,14.1334,14.4978,11.6101,12.91,2873190.83,-0.09053858568125837,0.16509829995507716,37.743286286339334,14.24262857142857,16.241042857142855
2018-01-23,12.9149,13.9,11.637,13.1022,2335831.96,0.014777950179688621,0.082854958583189,39.44088389100774,14.228714285714286,16.44995714285714
2018-01-24,13.1494,14.3,12.6,13.8,1947186.76,0.05188843712491923,0.08003994090795441,41.16658390312846,14.1716,16.66405238095238
2018-01-25,13.7998,14.1516,13.01,13.1905,1427643.05,-0.04517171864672101,0.08153479583456781,27.55808025635423,14.036,16.856790476190476
2018-01-26,13.1905,13.5989,12.01,13.1344,1788845.56,-0.004262130904573365,0.07653744250510798,23.19311132007404,13.777385714285714,16.773152380952382
2018-01-27,13.169,13.551,12.85,13.3994,992878.39,0.019975187223117787,0.06665465645990265,24.629675385031703,13.381414285714285,16.335028571428573
2018-01-28,13.3991,14.0235,13.3,13.7739,1377401.9,0.027565567205993454,0.04870098557716159,28.863604723273383,13.330057142857143,16.1055
2018-01-29,13.7739,13.87,12.739,12.815,857953.21,-0.07215913722494127,0.043450094689232194,29.15063590464625,13.316485714285715,15.858733333333332
2018-01-30,12.8295,12.98,11.11,11.4749,1322539.56,-0.11045431850434782,0.058884798319011014,42.04994883425062,13.084014285714286,15.576633333333332
2018-01-31,11.46,11.5483,10.553,11.3131,947115.48,-0.014200695018109673,0.050308420486699194,35.57904622978009,12.728742857142857,15.282019047619047
2018-02-01,11.3131,11.45,8.63,9.5138,2169016.01,-0.17321797015674714,0.07476374692318337,30.311800406881233,12.2035,14.725419047619049
